LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
65,,㈜실크로드시앤티,관심기업,,,,스크랩,SILKROAD 2024년 상반기 신입/경력 채용,필드엔지니어,R&D·연구원,법무담당자,감사 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,상시채용,하락16,,,,,,,,,,,,
66,,진인프라,관심기업,,,,스크랩,2024년 신입 및 경력 공개 채용,설비엔지니어,통신엔지니어,RF엔지니어,필드엔지니어 외,신입·경력,고졸↑,"서울, 대전, 광주 외","정규직, 계약직",즉시지원,~05/25(토),상승1,,,,,,,,,,,,
67,,씨에스케이㈜  (CSK Inc. ),관심기업,,,,스크랩,씨에스케이 & 에드워드 Field Service Engineer 신입사원 채용,전기·전자엔지니어,기계엔지니어,설계엔지니어,반도체엔지니어 외,신입,초대졸↑,경기,정규직,즉시지원,~05/17(금),하락21,,,,,,,,,,,,
68,,광진산업,관심기업,,,,스크랩,2024년 사업확장에 따른 부문별 신규 채용,기계엔지니어,설비엔지니어,필드엔지니어,생산·공정관리자 외,경력무관,학력무관,"대전, 충남","정규직, 계약직",즉시지원,~06/09(일),NEWNEW,,,,,,,,,,,,
69,,대한항공,관심기업,,,,스크랩,2024 하계 인턴 모집,기계엔지니어,재무담당자,회계담당자,정비기사 외,인턴·신입,"서울, 부산",인턴,,홈페이지 지원,~05/20(월),NEWNEW,,,,한진그룹,1000대기업,34 위,1000대기업 순위 닫기,,,,,
70,,AJ 네트웍스,관심기업,,,,스크랩,AJ네트웍스 렌탈부문 5월 수시채용,설비엔지니어,필드엔지니어,경영·비즈니스기획,PL·PM·PO 외,신입·경력,고졸↑,"서울, 경기, 충남 외",정규직,홈페이지 지원,~05/22(수),상승3,,,,,,,,,,,,
71,,㈜피라인모터스,관심기업,,,,스크랩,각 분야 신입/경력 모집 (회계/자금/법무관재/영업/반출관리/사업관리/사업지원/신사업부/해외사업부/통번역/자동차연구소(개발)/자동차연구소(인증)/충전사업관리/충전인프라관리),기계엔지니어,설계엔지니어,경영·비즈니스기획,총무 외,신입·경력,대졸↑,"서울, 경기, 인천",정규직,즉시지원,채용 시 마감,하락14,,,~05/31(금),,,,,,,,,
72,,㈜사이냅소프트,관심기업,,,,스크랩,[2024년 신입·경력 공개채용] 각 부문별 채용,필드엔지니어,웹기획,마케팅기획,회계담당자 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),상승6,,,,,,,,,,,,
73,,일진디앤코㈜,관심기업,,,,스크랩,오랜시간 함께할 직접고용 형태의 FM 분야 시설관리 일반사원 채용,기계엔지니어,설비엔지니어,전기·전자엔지니어,전기기사 외,경력무관,고졸↑,"서울, 경기, 인천","정규직, 계약직",즉시지원,채용 시 마감,하락23,,,~06/07(금),,,,,,,,,
74,,현대엘리베이터서비스㈜,관심기업,,,,스크랩,현대엘리베이터서비스주식회사 각 부문별 신입/경력 채용,설비엔지니어,필드엔지니어,경영지원,사무담당자 외,신입·경력,고졸↑,"서울, 경기, 인천 외",계약직,즉시지원,상시채용,하락10,,,,,,,,,,,,
