LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
79,하락9,한국선불카드㈜,관심기업,,,,,스크랩,"[ 인사,총무 / 서비스개발 ] 신입경력 모집 한국선불카드㈜",인사담당자,HRD·HRM,노무관리자,경영지원 외,신입·경력,초대졸↑,경기,정규직,즉시지원,~06/12(수),,,,,,,,,,,,
80,하락21,대원정밀공업㈜,관심기업,,,,,스크랩,대원정밀공업(주) 각 부문별 채용,인사담당자,R&D·연구원,생산직종사자,생산·공정관리자 외,신입·경력,학력무관,"경기, 전남, 경북 외","정규직, 계약직",즉시지원,~06/15(토),,,,,,,,,,,,
81,하락5,㈜윤성에프앤씨,관심기업,,,,,스크랩,각분야 신입/경력사원 모집 (PM/영업/설계/PLC등),HRD·HRM,인사담당자,PL·PM·PO,구매관리자 외,신입·경력,학력무관,"서울, 경기, 미국","정규직, 계약직",즉시지원,상시채용,,,,,,,,,,,,
82,상승68,㈜유니에스,관심기업,,,,,스크랩,유니에스 본사 인사관리자 정규직 채용,인사담당자,노무관리자,잡매니저,,신입·경력,초대졸↑,인천,정규직,즉시지원,~05/31(금),,,,,,,,,,,,
83,상승7,㈜포탈하이웨이,관심기업,,,,,스크랩,[사업확장] 각 분야별 채용 (MD/매장/경리),인사담당자,사무담당자,총무,사무보조 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,~06/02(일),,,,,,,,,,,,
84,하락12,㈜좋은일컴퍼니,관심기업,,,,,스크랩,[잡코리아] 아웃바운드 원픽영업팀 채용/실적인센티브 상한선없음,헤드헌터,잡매니저,사무담당자,사무보조 외,신입·경력,학력무관,"서울, 경기, 인천",정규직,즉시지원,~05/26(일),,,,,,,,,,,,
85,상승30,코카콜라음료㈜,관심기업,LG그룹,1000대기업,285 위,1000대기업 순위 닫기,스크랩,상시인재 Pool 등록 (신입) - 품질보증(QA),인사담당자,경영·비즈니스기획,브랜드마케터,물류관리자 외,인턴·신입,"경기, 광주, 경남",인턴,,홈페이지 지원,상시채용,,,,,,,,,,,,
86,상승1,주식회사 비에스온,관심기업,,,,,스크랩,인사총무팀 직원 채용 (신입가능/정규직),HRD·HRM,경영지원,총무,,경력무관,초대졸↑,서울,정규직,즉시지원,~06/08(토),,,,,,,,,,,,
87,하락4,한화손해보험㈜,관심기업,,,,,스크랩,한화손해보험  GA매니저 (교육/설계)  모집,HRD·HRM,금융영업,아웃바운드상담원,금융사무 외,경력무관,학력무관,"서울, 경기, 인천 외",위촉직/개인사업자,즉시지원,~05/31(금),우수기업,,우수기업 설명 닫기,,,,,,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다."
88,상승49,미니쉬테크놀로지㈜,관심기업,,,,,스크랩,인재문화팀 인사행정 담당 신입 모집,인사담당자,HRD·HRM,사무담당자,,신입,초대졸↑,서울,정규직,즉시지원,~06/02(일),,,,,,,,,,,,
89,하락10,㈜지넷시스템,관심기업,,,,,스크랩,인사/총무 신입사원 채용,HRD·HRM,인사담당자,총무,,신입,학력무관,서울,정규직,즉시지원,~06/12(수),,,,,,,,,,,,
90,상승3,은민에스엔디,관심기업,,,,,스크랩,각 부문별 경력직 채용,인사담당자,HRD·HRM,전기·전자엔지니어,설계엔지니어 외,신입·경력,초대졸↑,"서울, 전국",정규직,즉시지원,내일마감,,,,,,,,,,,,
